N°,Dénomination,N° RCCM,Activités,Adresses,Type
1,14 FEVRIER,RB/COT 13 B 9578,"IMPORTATION DE PRODUITS AGROALIMENTAIRES-TEXTILES-MATERIAUX DE CONSTRUCTION-MATERIELS ELECTRIQUES-LA QUINCAILLERIE-","QUARTIER DANTOKPA ILOT 531- 03 BP 3727 TEL 97035245",PM
2,2 AO & FILS,"RB/COO/12 B9186 DU220812","COMMERCE : Transports routiers de marchandises -toutes opérations pouvant concerner l'achat, la vente, l'importation, l'exportation, l'emmagasinage, le warrantage et le transport de tous produits , marchandises.","COTONOU : Kpondéhou 1 - ilot 462 bis - tél : 97272440",PM
3,"2A.S HOUNTONDJI ET FILS",RB/COT/13 A 16754,"VENTE DE MATERIELS ELECTRIQUES ET ELECTRONIQUES - PRESSING - DIVERSES PRESTATIONS DE SERVICES.","QTIER: VEDOKO - ILOT: 1448 - TEL: 95 46 95 19/ 97 80 01 52",PP
4,2AE HOUSE,"RB/COT/13A17796DU230813","COMMERCE : Achat et vente de matériels d'électricité - vente de matériels électriques - BTP - matériels et consommables informatiques - bureautiques - génie civil","COTONOU : Kouhounou - ilot 2226 - parcelle G - Tél : 97966691",PP
5,2B PRESTATIONS,RB/COT/13 A 17292,"BTP - ASSAINISSEMENT - IMPRIMERIE - POISSONNERIE - COMMERCE GENERAL ET DIVERSES PRESTATIONS","QTIER: AGONTINKON - ILOT: 1116 - TEL: 95 95 69 73",PP
6,2EME LIEU,RB/COT/13 A 16565,"BARS - CAFES ET AUTRES DEBITS DE BOISSONS - RESTAURATION - VENTE DE PRODUITS D'ENTRETIEN","QTIER: FIFADJI - ILOT: 1915 - 10 BP 1073 - TEL: 97 64 46 52",PP
7,2GMD GROUP,"RB/COT/13B10498 DU130913","COMMERCE : Achat, vente, importation et exportation de véhicules d'occasion - pneus - pièces détachées et de motos","COTONOU : Cadjèhoun II - ilot 789 - parcelle A - Tél : 97378362",PM
8,2HF - SERVICES,"RB/COT/13B10302 DU180713","COMMERCE : Importation et exportation de tous produits - matériels et objets non prohibés notamment de véhicules automobiles d'occasion - pneumatiques - pièces détachées pour automobiles et de matériaux de construction","COTONOU : Fidjrossè Centre - ilot 1691 - parcelle R - Tél : 95860510",PM
9,3 AS TECHNOLOGIES,RB COT 13 A 16471,"ACHAT ET VENTE DE MATERIELS INFORMATIQUES BUREAUTIQUES-FOURNITURES ET MATERIELS DE BUREAU","QUARTIER SAINT JEAN ILOT 436-E TEL 96748284/66159414",PP
10,3AE,RB/NAT/2013 B 035,"IMPORTATION DE MATERIAUX DE CONSTRUCTION - MATERIELS ELECTRIQUES - TOUS TRAVAUX CONSTRUCTION DE RESEAUX ELECTRIQUES DE BTP ET DE GENIE CIVIL","QTIER: BORIS - YOURE - ILOT: 196 - MAISON HOUNGNIBO - TEL: 96 99 51 84",PM
19,A F S,RB/PN/13 B 251,DE BOISSONS-LA COMMERCIALISATION ET LA VENTE DE PRODUITS ALIMENTAIRES-,QUARTIER TAKON C/S/B  05 BP 1569 COTONOU TEL 97098782,PM,""
"","","",AGROALIMENTAIRES,"","",""
"","","",COMMERCE : Achat et vente des produits tropicaux - ,"","",""
20,A. D.MAHOUGNON,RB/COT/13A17814DU280813,de pièces détachées - produits cosmétiques - consommables informatiques - diverses ,COTONOU : Fifadji - ilot c172 - parcelle : 2830k - Tél : 97027575,PP,ahodegnon damien né le 300880 à cotonou
"","","",marchandises ,"","",""
21,A. J. GROUPES ,RB/COT/13 B 10415 DU22081,COMMERCE : Importation et vente de groupes électrogènes et diverses marchandises - appareils électroménagers et accessoires ,COTONOU : Sodjèatinmè - ilot 108 -parcelle I - Tél : 97217339,PM,JAFFAL A W
22,A.E.C,RB/COT/13 A 17322,BTP-DIVERSES PRESTATIONS DE SERVICES,QUARTIER GBEDJROMEDE ILOT 1224-F 01 BP 4007 TEL 95950689,PP,""
"","","",EXPLOITATION D'UNE UNITE D'ENTRETIEN-,"","",""
23,A.K.R & FILS,RB COT 13 A 16911,ACHAT ET VENTE DE DIVERSES MARCHANDISES-PRESTATIONS DE SERVICES-,QUARTIER ILOT 1126 TEL 97464380,PP,""
"","","",COMMERCE GENERAL ET DIVERS.,"","",""
"","","",COMMERCE : Importation et exportation de ,"","",3 / 177
24,A.S.E,RB/COT/13B10511 DU170913,véhicules neufs ou d'occasions - les activités connexes - toutes opérations de gestion et ,COTONOU : Midombo - ilot 250 - parcelle B - Tél : 97 331 782,PM,ADEBIYI A R 
"","","",d'exploitation de parcs automobiles,"","",""
"","","",IMPORTATION DE VEHICULES D'OCCASION - ,QTIER: SEME KPODJI - ILOT: ,"",""
25,A.T.B-COMPANY,RB/PN 2013 B 047,MATERIELS ET CONSOMMABLES ,C/SB - 06 BP 3556 - TEL: 97 72 48 ,PM,BANWOLA ADEBAWO 
"","","",INFORMATIQUES - DIVERSES PRESTATIONS.,14,"",TESSILIMY
26,A.T.F INTER,RB/COT/13B10204DU19/06/13,importation de véhicules d'occasion-Pièces détachées-pneumatique et divers,Sègbèya Nord C/879  Tél 96226949,PM,AGNINDE Olakoulé Alabi Taofick
"","","",LAVAGE ET NETTOYAGE DE TEXTILES - ,"","",""
"","","",ENTRETIEN ( PRESSING-ESPACE) - APPORTEUR ,"","",""
27,A.VI.KO - LUXE SERVICE,RB/COT/13 A 16480,D'AFFAIRES - EVENEMENTIEL - BTP - SERVICE ,QTIER: TONATO - ILOT: 1386 - 07 ,"",ZODJIHOUE HIPPOLYTE 
"","","",TRAITEUR - ACHAT ET VENTE DE FOURNITURES ,BP 518 - TEL: 97 44 07 00,PP,JOSE KOFFMAN
"","","",DE BUREAU ET MAERIELS,"","",""
28,A2S OLAITAN ET SES FILLES,RB/COT/13 A18170DU281013,COMMERCE : Toutes activités d'alimentation générale - achat et vente de produits cosmétiques - commerce général,COTONOU : Missèbo - ilot 0362 - parcelle I - Tél : 95953696,PP,ASSANI Sikiratou 
29,AAZ,RB/COT/13B10522 DU200913,COMMERCE : Importation et vente de véhicules d'occasions ou neufs - motos neuves - pièces de rechanges auto moto - pneus d'occasion,COTONOU : Adjégounlè - ilot 217 - Tél : 95555553,PM,ABSS H
"","","",COMMERCE : Importation et exportation - ,"","",""
30,ABA INTERNATIONAL,RB/COT/313B10418DU220813,importation de véhicules automobiles - pièces détachées auto moti - pneumatiques - matériels ,COTONOU : N'vènamèdé - ilot 353 - parcelle A - Tél : 98840808,PM,LANIGNAN F. ALAKE 
"","","",informatiques,"","",""
"","","",ACHAT ET VENTE DE PRODUITS ALIMENTAIRES ,"","",""
"","","",ET DES BOISSONS-PRODUITS FORESTIERS-,"","",""
31,ABADJIAYE,RB COT 13 A 16797,ALIMENTATION GENERALE-TEXTILES ET EFFETS VESTIMENTAIRES-PRODUITS ,QUARTIER ZOGBOHOUE ILOT 1996-F TEL 97114738,PP,AFFETO EP.AHOYO TEL 97114738
"","","",COSMETIQUES-BTP ET ASSAINISSEMENT-,"","",""
"","","",COMMERCE GENERAL ET DIVERS.,"","",""
"","","",ACHAT ET VENTE DE MATERIAUX DE ,"","",""
32,ABAS,RB COT 13 A 16925,CONSTRUCTION QUINCAILLERIE-PEINTURE ET ARTICLES-VENTE ET LOCATION  DE VEHICULES ,QUARTIER SEGBEYA ILOT 269-G TEL 97941205,PP,""
"","","",D'OCCASION-COMMERCE GENERAL ET DIVERS.,"","",""
"","","",COMMERCE : Achat et vente de produits ,"","",""
33,ABBA PERE,RB/COT/13 A17460 DU240613,alimentaires et des boissons - pates alimentaires - commerce général et diverses prestations de ,COTONOU : Dantokpa - ilot 541 - parcelle G- Tél : 21312649,PP,LEGBA Cynthia Fifamin Tania né le 11/04/88 à 
"","","",services.,"","",Cotonou
"","","",SERVICE : Toutes opérations généralement ,"","",""
34,ABD BAAB,RB/COT/13B10365 DU050813,"quelconques pouvant concerner directement ou indirectement l'achat, la vente, l'échange, l'importation et l'exportation, l'emmagasinage, le ",COTONOU : Saint Michel - ilot 554 -Tél : 97212821,PM,BENJELLOUN Abdesselam
"","","",warrantage,"","",""
35,ABD COMMUNICATION ET FILS,RB/COT/13 A 17203,TELECOMMUNICATION - INFORMATIQUE - PRESTATIONS DE SERVICES - ALIMENTATION GENERALE - DIVERS,QTIER: AGLA - ILOT: 641 - 03 BP 2584 - TEL: 96 22 95 99,PP,DOSSOU BERTILLE AUBIERGE
"","","",ACHAT ET VENTE DE MATERIELS ,"","",4 / 177
36,ABDOUL BUSINESS CENTER ,RB COT 13 A 16891,INFORMATIQUES BUREAUTIQUES-BTP-PRODUITS TROPICAUX-COMMERCE GENERAL ,QUARTIER SAINT MICHEL ILOT 517-H TEL 97061355,PP,""
"","","",ET DIVERS.,"","",""
37,ABDUL - SALAM,RBCOT/13A18184 DU311013,COMMERCE : Toutes activités d'achat et vente de ferrailles - commerce général,COTONOU : Enagnon - ilot 4013 - parcelle F - Tél : 97 89 0416,PP,MOUMOUNI A
38,ABENI Z & FILS,RB/COT/13A17702 DU060813,COMMERCE : Achat et vente de chaussures - commerce général et divers - vente de sacs et de bijoux,COTONOU : Dédokpo - ilot 556 - parcelle C - Tél : 66081719,PP,OLATOUNDJI EP BADIROU Zékiyatou née le 26/04/79 à porto novo
39,ABIFAT ,RB/COT/13 A17453 DU240613,COMMERCE : Achat et vente de fripperie - transport -commerce général,COTONOU : St Michel - ilot 557 - parcelle C - Tél : 97753643,PP,ABIOLA Fatiou Kolawolé né 01/01/71 à Ikpèdjilè
40,ABIKE - OLA,RB/COT/13A18205 DU051113,COMMERCE : Achat et vente de bijoux - produits cosmétiques - alimentation générale - produits tropicaux - commerce général et divers ,COTONOU : Avotrou - ilot 727 - parcelle I - Tél : 96967313,PP,BACHABI N A
"","","",TOUTES ACTIVITES LIEES A L'INSTALLATION ,"","",""
"","","",D'USINES DE TRANSFORMATION DES ,"","",""
41,ABISCHAÎ,RB/COT/13 A 16919,PRODUITS VIVRIERS - TRANSFORMATION DE ,QTIER: KOUHOUNOU - ILOT: ,"",""
"","","",BOIS - COMMERCE GENERAL ET DIVERSES ,2240 - TEL: 96 39 58 50,PP,DEGA MIMALIN EVARISTE
"","","",PRESTATIONS DE SERVICES.,"","",""
"","","",ACHAT ET VENTE DE VETEMENTS-PRËT A ,"","",""
"","","",PORTER-LINGERIE HOMMES ET FEMMES-,"","",""
"","","",ACCESSOIRES SENSUELLES ET DE ,"","",""
42,ABISIK LINGERIE,RB COT 13 A 17298,DECORATION-LAYETTE-BONNETERIE-MERCERIE-ACHAT ET VENTE DE PRODUITS ,QUARTIER VEDOKO ILOT 1430-C TEL 97162108,PP,""
"","","",ALIMENTAIRES ET BOISSONS-DETERGENTS-,"","",""
"","","",INFORMATIQUE-PRODUITS GSM-LOCATION DE ,"","",""
"","","",VOITURES-FOURNITURES DE BUREAU,"","",""
"","","",ACHAT ET VENTE DE FOURNITURES DE ,"","",""
"","","",BUREAU LIBRAIRIE ET PAPETERIE - BTP - ,"","",""
43,ABLAWA BLANDINE TONOUKOUIN,RB/COT/13 A 16459,MATERIELS INFORMATIQUES - GENIE CIVIL - PRET-A-PORTER - PRODUITS ALIMENTAIRES - PRODUITS VIVRIERS TROPICAUX ET ,QTIER: ZOGBOHOUE - ILOT: 1999 - 02 BP 1076 COTONOU - TEL: 97 36 41 41/ 97 19 28 71,PP,TONOUKOUIN ABADJAYE BLANDINE
"","","",FORESTIERS - COMMERCE GGENERAL ET ,"","",""
"","","",DIVERSES PRESTATIONS DE SERVICES.,"","",""
"","","",ACHAT ET VENTE DE PRODUITS ALIMENTAIRES ,"","",""
44,ABOUBACAR YACOUBA,RB COT 13 A 16491,ET BOISSONS-FOURNITURES DE BUREAU ET SCOLAIRES-PRODUITS FORESTIERS-VIVRIERS ,QUARTIER GBEDIGA ILOT 631-OO TEL 96886088,PP,ISSA YACOUBA ABOUBACAR TEL 
"","","",ET TROPICAUX-POISSONNERIE-DIVERS,"","",96886088
45,ABOUDOULAYE IMPORT - EXPORT,RB/COT/13 B10685 DU051113,COMMERCE : Importation de véhicules automobiles d'occasion ou neuf - des pièces de rechange - pneumatique - représentation commerciale,COTONOU : Avotrou - ilot 696 - parcelle D - Tél : 97929145,PM,ABOUDOULAYE A R
46,ABOUE,RB/COT/13A 18080DU111013,COMMERCE : Achat et vente de textile et d'effets vestimentaires - tenues - consommables informatiques - fournitures de bureau,COTONOU : AÎBATIN - ILOT 1575 -TEL : 97317136,PP,KEREKOU MADOUGOU Cécile
47,AB-ZOUL,RB/COT/ 13 A 16420,"ACHAT ET VENTE DE MATERIELS INFORMATIQUES BUREAUTIQUES-BTP-GENIE CIVIL-ALIMENTATION GENERALE-COMMERCE GENERAL-DIVERSES PRESTATIONS DE SERVICES.","QUARTIER VEDOKO ILOT 1437-A TEL 97521100",PP
48,ACAA - TRANS,"RB/COT/13A17930 DU170913","SERVICE : Transport de sable- graviers et eau - commerce général","COTONOU : Kouhounou - ilot 2238 - parcelle F - Tél : 95 497 332",PP
49,ACCESS,RB/PN/13 B 240,"IMPORTATION DE VEHICULES D'OCCASION-DE PNEUS-DE PIECES DETACHEES ET AUTRES ACCESSOIRES-DIVERSES MARCHANDISES","QUARTIER KPAKPAKANME ILOT 28-L TEL 97582672",PM
50,ACCORD,"RB/COT/13 B9693 DU310113","COMMERCE : Importation de matériels informatiques - bureautiques - matériels électroniques - fournitures et mobiliers de bureau - commerce général","COTONOU : Missité - ilot 1561 - parcelle J -Tél : 96955626",PM
51,ACHABI,RB/ABC/13B155 DU220813,"COMMERCE : Importation de matériaux - importation, achat et vente de matériels électroniques, électriques et électroménagers, matériels et consommables informatiques","ABOMEY CALAVI : Arconville - cité BK lot F - parcelle E - Tél : 6602 50 11",PM
52,ACHIMIOU ET FRERES,"RB/COT/13A17767DU200813","COMMERCE : Achat et vente de matériels d'électricité - de pneumatiques - quincaillerie - produits d'entretien et d'informatiques","COTONOU : Scoa gbéto - ilot 308 - parcelle A - Tél : 95601498",PP
53,ACTION-ZYP,RB/COT/13 A 16300,"DIVERSES PRESTATIONS DE SERVICE-INFORMATIQUE-BTP-GENIE CIVIL- ENTRETIEN ET NETTOYAGE  DE BATIMENTS ET DE RUES","QUARTIER ABOKICODJI ILOT 0047 TEL 95960868 03 BP 2918",PP
54,ADAMOU ET FILS,RB/COT/13 B 9817,"LE COMMERCE GENERAL - IMPORTATION ET EXPORTATION DE TOUS PRODUITS - LA REPRESENTATION COMMERCIALE - LE NEGOCE INTERNATIONAL - ETC - VOIR STATUTS","QTIER: GBEGAMEY - ILOT: 636 - 01 BP 5462 - TEL: 21 30 11 29",PM
55,ADAM'S CAR,"RB/COT/13 B9943 DU040413","COMMERCE : Importation de véhicules neufs ou d'occasion - pièces automobiles de rechange neuves ou d'occasion - exportation des produits tropicaux - forestiers et agricoles","COTONOU : Atinkanmey - ilot 119 -parcelle : Im/cameroun Air - Tél : 67484850",PM
56,ADE - TRADE,"RB/COT/13A17928 DU170913","COMMERCE : achat et vente de produits alimentaires et des boissons - produits SOBEBRA - produits congéles","COTONOU : Zongo - ilot 1367 - parcelle X - Tél : 97268231",PP
57,ADEBISSI FASHION,RB/COT/13 A 16716,"COUTURE - BRODERIE - COMMERCE GENERAL ET DIVERSES PRESTATIONS DE SERVICES.","QTIER: SODJEATINME - ILOT: 96 05 BP 775 - TEL: 97 07 55 03",PP
58,ADEC ET FILS,RB/COT/13 A 16631,"ACHAT ET VENTE DE MATERIELS INFORMATIQUES BUREAUTIQUE 6 MATERIELS INDUSTRIELS - RESTAURATION - BTP - ET ASSAINISSEMENT - ALIMENTATION GENERALE ET DIVERS.","QTIER: GBEDEGBE - ILOT: 1568 - 03 BP 223 - TEL: 95 95 61 71",PP
"","","",ACHAT ET VENTE DE PRODUITS COSMETIQUES ,"","",6 / 177
60,ADEGBINDIN ET FILS,RB/COT/13 A 16951,ET PARFUMERIE - ACHAT ET VENTE DES PRODUITS AGRO-ALIMENTAIRES - COMMERCE ,QTIER: SOUROU LERE AKPAKPA - ILOT: 129 - TEL: 67 04 15 16,PP,ADEGBINDIN WAHAB IYANDA
"","","",GENERAL.,"","",""
"","","",ACHAT ET VENTE DE PRODUITS COSMETIQUES ,"","",""
61,ADELIA,RB COT 13 A 16660,ET PARFUMERIE-FOURNITURES DE BUREAU-MATERIELS INFORMATIQUES-VENTE D'OBJETS ,QUARTIER CITE VIE NOUVELLE ILOT APP 18-K TEL 95283104,PP,GNOHOUE EPSE ADELE MARIE NOEL
"","","",D'ART-COMMERCE GENERAL ET DIVERS.,"","",""
62,ADENIYI & FILS,RB/COT/13A 18180 DU301013,COMMERCE : Achat et vente de meubles et biens d'équipement - fournitures de bureau - négoce - BTP ,COTONOU : Missité - ilot 794 - parcelle X - Tél : 97122329,PP,YESSOUFOU Amadou
63,ADE-OCEAN,RB/COT/13 A18058 DU091013,COMMERCE : Achat et vente de produits cosmétiques et parfumerie - friperie - bijoux - produits alimentaires et boissons,COTONOU : Yagbè - ilot 0481 - Parcelle : M/AVOCE - Tél : 67900815,PP,OUSSOUBONOU Adéline
"","","",COMMERCE : Importation et exportation de ,"","",""
64,ADETOLA MOTORS ET FRERES ,RB/PN/13 B315DU260613,véhicules automobiles d'occasion ou neufs - pneumatique et quincaillerie - commercialisation ,PORTO NOVO : Houinmè - ilot 35 - parcelle V - Tél : 97602161,PM,AMOUSSA Daouda né le 30/06/81 à adjarra
"","","",d'équipements ménagers - produits de téléphonie,"","",""
65,ADISS - AUTO ,RB/COT/13B 10662DU291013,COMMERCE : Importation et vente de véhicules d'occasion - achat et la revente des meubles meublant et mobilier de bureaux ,COTONOU : Hlacomey - ilot 892 - parcelle A - Tél : 95261010,PM,ALABI K
"","","",ACHAT ET VENTE DE FOURNITURES DE ,"","",""
"","","",BUREAU LIBRAIRIE ET PAPETERIE-,"","",""
66,ADISSA OLORUNTOYIN,RB COT 13 A 16779,ALIMENTATION GENERALE -MATERIEL INFORMATIQUE-BTP-GENIE CIVIL-VETEMENT-,QUARTIER ABOKICODJI ILOT 47- TEL 97643521,PP,""
"","","",COMMERCE GENERAL-DIVERSES ,"","",""
"","","",PRESTATIONS DE SERVICES,"","",""
67,ADJAMONSI ,RB/COT/13 A17499 DU020713,COMMERCE : Achat et vente de produits alimentaires et des boissons - produits de beauté - textiles et effets vestimentaires ,COTONOU : Kindonou - ilot 1642- parcelle H - Tél / 95152214,PP,HOUNTONDJI Doris O. Ruffine née le 13/12/80 à cotonou 
"","","",LOCATION DE VOITURES-FOURNITURES DE ,"","",""
68,ADJAS-TOURS,RB COT 13 A 17156,BUREAU-MOBILIER ET MATERIEL DE BUREAU-PRESTATIONS DE SERVICES.COMMERCE ,QUARTIER AGLA 3460-J 072 BP 91 TEL 97572669,PP,""
"","","",GENERAL ET DIVERS.,"","",""
"","","",COMMERCE : Bâtiments et travaux publics - ,"","",""
69,ADJIB ET FILS,RB/COT/13A 18365DU121213,assainissement - achat de matériaux de construction -bureautique et vente des matériels informatiques ,COTONOU : Suru-Léré - ilot 506 - Tél :97655675,PP,ADJIBABI Honoré 
"","","",COMMERCE : Importation et exportation de ,"","",""
70,ADJIBABI COMPANU,RB/PN/13 B337DU230713,véhicules automobiles d'occasion ainsi que de pièces de rechange et d'accessoires automobiles neufs et ,PORTO NOVO : Zèbou - ilot 106 - Tél : 97885325,PM,ADJIBABI Bastou née le 08/06/79 à porto novo
"","","",d'occasion - pneumatique,"","",""
71,ADJIBOLA FALILOU,RB/COT/13A17846DU020913,COMMERCE : Achat et vente de produits alimentaires et des boissons - BTP - génie civil - achat et vente de matériels agricoles,COTONOU : Minontchou - ilot 864 - parcelle F - Tél : 95002001,PP,ADJIBOLA Falilou
"","","",COMMERCE : achat et vente de véhicules ,"","",7 / 177
72,ADJIBOLA OUZAENE BUSINESS GROUP,RB/COT/13A 18201DU041113,d'occasion et autres biens d'occasion - vente de pièces détachées - matériels informatiques et de ,COTONOU : Ayélawadjè - ilot 862 - parcelle B - Tél : 97133396,PP,ADJIBOLA Emmanuel O 
"","","",bureau,"","",""
"","","",ACHAT ET VENTE DE PRODUITS TROPICAUX ET ,"","",""
73,ADJIBOYE ET FILS,RB COT 13 A 17025,AUTRES PRODUITS AGRICOLES-FABRICATION  DES MEUBLES-ACHAT ET VENTE DE PIECES ,QUARTIER CADJEHOUN ILOT 43-1067 TEL 95790705,PP,""
"","","",DETACHEES AUTO-MOTO,"","",""
"","","",ASSISTANCE AUX ENTS/GESTION DES ,"","",""
74,ADJI-CONSEIL BENIN,RB/COT/13 A 17006,RESSOURCES HUMAINES - CONSULTANT EN DOUANE - APPUI AUX ENTREPRISES - ,QTIER: FIDJROSSE - ILOT: 1811 - 04 BP 263 - TEL: 95 95 41 19,PP,GANGNON YAOVI
"","","",PRESTATIONS DIVERSES.,"","",""
"","","",LE COMMERCE GENERAL - L'IMPORTATION ET ,QTIER: HOUINME-,"",""
75,ADJIKE ET FILS,RB/PN/13 B 228,L'EXPORTATION - IMPORTATION DE TISSUS - DE CHAUSSURES - USTENSILES DE CUISINE - ,GBEDJROMEDE - ILOT: 3-154 - M/SON IGUE,PM,IGUE SUAIBU ADERODJOU
"","","",APPAREILS ELECTROMENAGERS,TEL: 97 96 03 28,"",""
"","","",IMPORTATION ET COMMERCIALISATION DES ,QUARTIER TONATO ,"",""
76,ADJINAKOU,RB COT 13 B 9874,MATERIAUX DE CONSTRUCTION ET QUINCAILLERIE-BTP-GENIE CIVIL-FABRIQUE DE ,AGONTINKON ILOT 1269-E 01 BP ,PM,""
"","","",BRIQUES.,6803 TEL 94190896,"",""
77,ADJOVI ET FILS ,RB/COT/13 A17531 DU040713,SERVICE : Diverses prestations de services - transferts de fonds - commerce général et divers,COTONOU : Degakon - ilot 0754 - parcelle C - Tél : 66027373,PP,ADJOVI Sourou né le 11/11/1959 à Cotonou
"","","",MAINTENANCE DE MATERIELS INFORMATIQUES ,QTIER: VEDOKO - ILOT: 1471 - 04 ,"",""
78,ADL TECHNOLOGIE,RB/COT/13 A 16857,ET D'EQUIPEMENTS DE BUREAU - PHOTOCOPIE - SAISIE - COMMERCE GENERAL ET DIVERSES ,"BP 1495, RUE FUNAÎ - ",PP,AGBOGNIHOUE DELIDJI 
"","","",PRESTATIONS DE SERVICES.,TEL: 97 75 56 86,"",LUC
