N°,N° RCCM,Dénomination,Activités,Adresses,Type
1,"RB/PN/13 A 321 DU02/05/13","""NORA"" FASHION","COMMERCE: ACHAT ET VENTE DE CHAUSSURES - SACS - TEXTILES - MERCERIE - BIJOUX - PRODUITS COSMETIQUES - BUREAUTIQUE - QUINCAILLERIE - PIECES","Porto-Novo Dodji LOT/ 2180-f TEL/ 97 07 82 06",PP
2,"RB/PN/13 A 462 DU25/07/13",2AK ET FILS,"COMMERCE: BUREAUTIQUE - BTP - QUINCAILLERIE - ENTRETIEN DES LOCAUX - LOCATION DE BACHES - SONORISATION DIVERS - TRAVAUX D'IMPRIMERIE - BAR-","Adjarra Malanhoui M/SON KAKAHOUN TEL/ 97 37 49 40",PP
3,"RB/PN/13 A 685 DU04/12/13",2H ET FILS,"COMMERCE: ACHAT ET VENTE DE FOURNITURES DE BUREAU - MATERIELS ET EQUIPEMENTS DE TOUS GENRES - CONSOMMABLES INFORMATIQUES -","Porto-Novo Djègan-Kpèvi ZIP/3-232-M TEL/97 83 66 61",PP
4,"RB/PN/13 A 491 DU22/08/13",2H HODONOU ET FILS,"COMMERCE: DEPOT DE VENTE DE PRODUITS SOBEBRA - DEPOT DE VENTE DE CIMENT - QUINCAILLERIE GENERALE - COMMERCE GNERAL ET DIVERS","Sèmè-Kpodji Ekpè1 M/SON SAGBOHAN TEL/ 97 47 32 82",PP
5,"RB/PN/13 A 513 DU30/08/13",2KC ET FILS,"INDUSTRIE: BTP - PRODUITS TROPICAUX - AGRICOLES - FORESTIERS - BUREAUTIQUE - INFORMATIQUE - TOUTES PRESTATIONS DE SERVICES - EVENEMENTIEL - COMMUNICATION","Porto-Novo Ouando ZIP/ 3-267-H TEL/ 97 84 59 31",PP
6,"RB/PN/13 A 323 DU02/05/13",5EME AVENUE,"COMMERCE: CAFETERIA - SERVICE TRAITEUR -MAROQUINERIE - BIJOUX - ARTICLES VESTIMENTAIRES - BUREAUTIQUE - DIVERSES PRESTATIONS - EXPLOITATION ET","Porto-Novo Djassin ZIP/ 1-102-AH 01 BP 1904 P/N TEL/ 96 91 98 01",PP
7,"RB/PN/13 A 315 DU25/04/13",A B C-DEGNON,"COMMERCE: ACHAT ET VENTE DE FOURNITURES DE BUREAU - LIBRAIRIE - PAPETERIE - RESTAURATION - SERVICE TRAITEUR - PATISSERIE - BOULANGERIE -","Porto-Novo Lokossa LOT/ 1956-f TEL/ 97 09 84 36",PP
8,RB/PN/ 13 A 232,A S B,"TRANSIT - PRODUITS TROPICAUX - FORESTIERS - AGRICOLES - BTP - PRESTATIONS DE SERVICES - FOURNITURES DE BUREAU ET SCOLAIRES - INFORMATIQUE -","Tokpota I P/N LOT/ 385-A TEL/ 95 28 02 08",PP
"",RB/PN/12 B 526 DU11/05/12,ADJADIX,VEHICULES D'OCCASION OU NEUFS - L'ACHAT ET LA VENTE DES PRODUITS ALIMENTAIRES - ,Porto-Novo Chinvié LOT/ 82 M/son da SILVA TEL/ 94 22 68 16,PM,ADJADI Kamal
39,"","",DES PRODUITS CONGELES - DES BOISSONS - ,"","",""
"","","",TISSUS WAX HOLLANDAIS - TEXTILES - BIJOUX -,"","",""
"",RB P/N-13-A-065,ADJASS ET FILS,CHAUSSURES - VEHICULES - PIECES ,Idi-araba P/N LOT/ 517-h TEL/ 97 24 59 ,PP,YESSOUFOU 
40,"","",DETACHEES - PNEUMATIQUES - DIVERS,75,"",Aboudou Rafihi
"","","",COMMERCE: QUINCAILLERIE - PRODUITS ,"","",""
"",RB/PN/13 A 619 DU25/10/13,ADJI BABA,FORESTIERS - AGRICOLES - ALIMENTATION GENERALE - TRANSPORT - VENTE DE CIMENT - ,Sakété Gbokoudayi C/SB M/SON AROUNA TEL/ 95 79 79 81,PP,AROUNA Adéwalé Waly
41,"","",VENTE DE CIMENT  - COMMERCE GENERAL ET ,"","",""
"","","",COMMERCE: PRODUITS FORESTIERS - ,"","",""
"",RB/PN/13 A 514 DU30/08/13,ADJIGNON - BIDOSSESSI,AGRICOLES - ALIMENTAIRES - AGROPASTORAUX - PRODUITS DE LA ,Avrankou Gbodjè M/SON ADJIGNON TEL/ 97 17 69 58,PP,ADJIGNON Sèyivè Césaire
42,"","",SONACOP - SOBEBRA - GAZ DOMESTIQUE - ,"","",""
"","","",EXPLOITATION ET VENTE DE PRODUITS ,"","",""
"",RB P/N-13-A-179,ADJIKAWO ET FILS,FORESTIERS - QUINCAILLERIE - DEPOT ,Dodji P/N LOT/ 105-E TEL/ 97 07 26 27,PP,BISSIRIOU Saliou
"","","",CIMENT - SOBEBRA - ALIMENTATION ,"","",""
43,"","",GENERALE - PRET A PORTER - LUBRIFIANTS - ,"","",""
"","","",COMMERCE: FERME AGROPASTORALE - ,"","",""
"",RB/PN/13 A 648 DU12/11/13,ADONON ET FILS,TRANFORMATION DE PRODUITS AGROALIMENTAIRES - VENTE DE MATERIELS ,Porto-Novo Idi-Araba LOT/611-B TEL/96 09 56 67,PP,ADONON Tôgnissè Esaïe
44,"","",D'OCCASION - BUREAUTIQUE - INFORMATIQUE -,"","",""
"",RB P/N-13-A-053,ADOUKER FASHION,ACHAT ET VENTE DE VEHICULES - TEXTILES - BIJOUX - QUINCAILLERIE - DIVERS,Tchinvié P/N LOT/ 98-C TEL/ 98 28 20 92,PP,ADEHAN Mayessarat A.
45,"","","","","",""
"",RB P/N-13-A-148,AEKA,BTP - TOPOGRAPHIE - GEOMETRE - BUREAUTIQUE - MOBILIERS - DIVERS,Gouako MISSERETE LOT/ 49-A TEL/ 66 87 46 66 ,PP,KANHO E. Antoine
46,"","","","","",""
"","","",COMMERCE: IMPORTATION DE VEHICULES ,"","",""
"",RB/PN/13 B 167 DU13/02/13,AFFEZ-CO,AUTOMOBILES D'OCCASION - DE MOTOS - PIECES DE RECHANGES - PNEUMATIQUE - ,Porto-Novo Hounsouko C/SB M/SON OLAEWE TEL/ 97 68 07 98,PM,SAKA Affissou Kolawolé
47,"","",TRANSPORT - MACONNERIE - BUREAUTIQUE - ,"","",""
"","","",INDUSTRIE: BUREAU D'ETUDE DES TRAVAUX ,"","",""
"",RB/PN/13 A 493 DU22/08/13,AFRICA CONSULT TOPO,TOPOGRAPHIQUES - LEVES - LOTISSEMENT - TITRE FONCIER - VRD - ASSAINISSEMENT - ,Porto-Novo Dowa ZIP: 4-545-h TEL/ 97 91 30 54,PP,NOUATIN Daniel Salako
48,"","",AGENCE IMMOBILIERE - COMMERCE GENERAL ,"","",""
"","","",INDUSTRIE: ETUDE - APPUI - CONSEILS - ,"","",""
"",RB/PN/13 A 492 DU22/08/1 ,AFRICA PERFECT,RECRUTEMENT - FORMATION - EVALUATION DE PROJETS - AUDIT ORGANISATIONNEL - ,Sèmè-Kpodji Ekpè LOT/ 11-A TEL/97 58 28 57,PP,FANOU Léocadie Immaculata Afiavi
49,"","",RECOUVREMENT - ASSISTANCE ET SUIVI DES ,"","",""
"","","",INDUSTRIE: ENERGIE - INFORMATIQUE - ,"","",""
"",RB/PN/13 A 402 DU20/06/13,AFRICA'S LIGHT,BUREAUTIQUE - BTP - PRESTATION DE SERVICES - PRODUITS AGRICOLES - ,Porto-Novo Houinmè ZIP/278-A TEL/ 95 78 77 78,PP,IDOHOU AROKOHO Adébissi Afissou
50,"","",FORESTIERS ET ALIMENTAIRES - PRET-A-,"","",""
"","","",INSDUSTRIE: BTP - MENUISERIE INDUSTRIELLE ,"","",""
"",RB/PN/13 A 553 DU19/09/13,AFRIK'ARTH ENGENEERING,- EAU ET ASSAINISSEMENT - RESEAU INFORMATIQUE ET TELECOMMUNICATION - ,Porto-Novo Oganla M/SON ABASSI TEL/ 97 75 77 63,PP,ADOUN Roséline
51,"","",ELECTRIFICATION - TRANSPORT - PRODUITS ,"","",""
"","","",SERVICE: AGENCE DE COMMUNICATION - ,"","",""
"",RB/PN/13 A 446 DU17/07/13,AFRIQUE SOLIDARITE,DIVERSES PRESTATIONS DE SERVICES - EVENEMENTIELS - BTP - BUREAUTIQUE - ,Adjohoun Gbèkandji M/son NOUGBE TEL/ 97060147,PP,NOUGBE Ayiminasso Gérard
52,"","",INFORMATIQUE - PRODUITS AGROPASTORAUX ,"","",""
"","","",INDUSTRIE: ETUDES - CONTROLE ET SUIVI DES ,"","",""
"",RB/PN/13 A 330 ,AFRITEC LE ,TRAVAUX DE BTP - REALISATION ET ,Porto-Novo TokpotaII LOT/ 4-70-d TEL/ ,"",""
"",DU08/05/13,CONSTRUCTEUR,REFECTION EN BTP - ASSAINISSEMENT ET ,97 08 40 16,PP,GOUTON Honoré
53,"","",ENTRETIEN DES ROUTES - MATERIAUX DE ,"","",""
"","","",COMMERCE: VENTE DE PIECES DETACHEES ,"","",""
"",RB/PN/13 A 632 DU05/11/13,AGBAHOLOU ET FILS,DE MOULIN - MECANIQUE DIESEL - QUINCAILLERIE - LOCATION DE BACHES ET ,Sèmè-Kpodji Awanou C/SB TEL/ 97 60 05 34,PP,AGBAHOLOU Victor
54,"","",CHAISES - DIVERS,"","",""
"","","",SERVICE: GESTION IMMOBILIERE - LOCATION ,"","",""
"",RB/PN/13 A 468 DU02/08/13,AGENCE MAXWELL,ET VENTE DES VEHICULES D'OCCASION - ENTRETIEN DES LOCAUX - COLLECTE ET ,Sèmè-Kpodji Sèkandji M/SON HOUENOU TEL/ 67 08 92 58,PP,HOUENOU Mahougnon Maxime
55,"","",PAIEMENT DES FACTURES D'ELECTRICITE ET ,"","",""
"","","",COMMERCE: GARDE ET SURVEILLANCE ,"","",""
"",RB/PN/13 A 504 DU27/08/13,AGEP 2R,D'ENGINS ET VEHICULES - VENTE DE PRODUITS SOBEBRA - PRODUITS AGRICOLES - ,Sèmè-Kpodji Tchonvi M/SON TAOGBE TEL/ 97 49 24 21,PP,TAOGBE Jules Babatoundé
56,"","",FORESTIERS ET ALIMENTAIRES - ,"","",""
"",RB/PN/13 A 486 ,"",INDUSTRIE: BTP - QUINCAILLERIE ET VENTE DE ,"","",""
"",DU16/08/13,AGGROS CONSTRUCTIONS,PLANCHES - PRESTATIONS DE SERVICES - ,Sakété Dagbao C/SB TEL/ 96 58 66 24,PP,ADEROMOU Pierre
57,"","",COMMERCE GENERAL ET DIVERS,"","",""
"","","",COMMERCE: ACHAT DE TEXTILES - ,"","",""
"",RB/PN/13 A 401 DU20/06/13,AGNIKE ET FILS,ALIMENTATION GENERALE - BUREAUTIQUE - INFORMATIQUE - PRESTATIONS DE SERVICES - ,Porto-Novo Lokossa ZIP/1-469-Q TEL/ 97 74 92 77 ,PP,OSANYIBI Sofiatou
58,"","",SERVICE TRAITEUR - COMMERCE GENERAL ET ,"","",""
"","","",COMMERCE: ACHAT DE TEXTILES - ,"","",""
"",RB/PN/13 A 399 DU19/06/13,AHOUANGUERITE ET FILS,INFORMATIQUE - BUREAUTIQUE - QUINCAILLERIE - VENTE DE PRODUITS ,Sèmè-Kpodji Djeffa-Houédomè M/SON AHOUANDJINOU TEL/ 97640551,PP,AHOUANDJINOU Mimontoun Marguerite
59,"","",FORESTIERS - VENTE DE CIMENT - PRODUITS ,"","",""
"","","",COMMERCE: ACHAT ET VENTE DE PRODUITS ,"","",""
"",RB/PN/13 A 662 DU21/11/13,AHRIN PRODUCTION,AGROINDUSTRIELS - PRODUITS AGRP-PASTORAUX ET ARTISANAUX - NTIC - ,Porto-Novo Oganla-Poste LOT/242-d TEL/97 19 75 94,PP,AHRIN Oswald
60,"","",BUREAUTIQUE - VENTE DE MACHINES ,"","",""
"","","",COMMERCE: VENTE D'HUILE VEGETALE - RIZ - ,"","",""
"",RB/PN/13 A 681 DU28/11/13,AIDE MEMOIRE,TEXTILE - BUREAUTIQUE - ALIMENTATION GENERALE - PRODUITS FORESTIERS - ,Porto-Novo Houinmè-Ganto ZIP/4-276-b TEL/95 42 44 67,PP,AGOSSOU Thèrèse Afiavi
61,"","",COMMERCE GENERAL ET DIVERS,"","",""
"","","",PRET A PORTER - QUINCAILLERIE - ACHAT ET ,"","",""
"",RB/PN/ 13 A 227,AKEB ET FILS,VENTE DE VEHICULES - ALIMENTATION ,Latchè C/SB M/SON AKINOCHO ,"",AKINOCHO Akambi 
"","","",GENERALE - BTP - CONSOMMABLES ,AVRANKOU TEL/ 97 12 69 75,PP,K.
62,"","",INFORMATIQUES - DIVERS,"","",""
"","","",COMMERCE: VENTE DE GAZ ORYX ET ,"","",""
"",RB/PN/13 A 603 DU17/10/13,AKINOLA,SONACOP - POISSONNERIE - QUINCAILLERIE - ALIMENTATION GENERALE - VITRERIE - ,Adjarra Dossouvié LOT/200-C TEL/ 97 03 61 47,PP,BELLO Isbath Kolawolé Ayoka
63,"","",ALUMINIUM - COMMERCE GENERAL ET DIVERS,"","",""
"","","",INDUSTRIE: BTP - ACHAT ET VENTE DES ,"","",""
"",RB/PN/13 A 678 DU26/11/13,AKOFEL-MAD ET FILS,PRODUITS SOBEBRA - AGRICOLES - VIVRIERS - TROPICAUX - FORESTIERS - BUREAUTIQUES - ,Sèmè-Kpodji Djeffa C/SB TEL/95 11 95 59,PP,AKOHOUEGNON Félicien
64,"","",TIC - BIJOUX - HOTELLERIE - TOURISME - ,"","",""
"","","",SERVICE: TRANSPORT - PRODUITS AGRO-,"","",""
"",RB/PN/13 A 434 DU08/07/13,AKOTONOU,ALIMENTAIRES - FORESTIERS - AGRICOLES - NOIX DE PALME - QUINCAILLERIE - DEPOT ,Porto-Novo Louho LOT/389-A TEL/ 97 47 63 00,PP,AKOTONOU Mawime
65,"","",SOBEBRA - CIMENT - PRODUITS GSM - GAZ ,"","",""
"","","",COMMERCE: INFORMATIQUE - PHOTOCOPIE - ,"","",""
"",RB/PN/13 A 422 DU01/07/13,AL-BARAKATH CENTER,VENTE DE PRODUITS DE TELECOMMUNICATION - FOURNITURES DE ,Porto-novo Dowa ZIP/ 4-705-W TEL/ 97 57 47 40,PP,FATOKI Achambi Abdel Séid
66,"","",BUREAU - MATERIELS INFORMATIQUES ET ,"","",""
"","","",COMMERCE: VENTE DE GROS ET DEMI-GROS ,"","",""
